,Title,Year,fandom,Media
724,SUNADOKEI (SAND CHRONICLES),2003,Ado,Manga
2414,MIKADO NO SHIHOU,2004,Ado,Manga
5024,YUMEYUME KIRAKIRADOU (YUME KIRA DREAM SHOPPE),2005,Ado,Manga
8131,GEKIJOUBAN POCKET MONSTER AG: MEW TO HADOU NO YUUSHA LUCARIO (POKÉMON: LUCARIO AND THE MYSTERY OF MEW),2005,Ado,Manga
8303,KAGE KARA MAMORU! (MAMORU THE SHADOW PROTECTOR),2005,Ado,Manga
369,TORADORA!,2006,Ado,Manga
3058,EL CAZADOR DE LA BRUJA,2007,Ado,Anime
4314,TORADORA SPIN-OFF!,2007,Ado,Manga
516,TORADORA!,2008,Ado,Anime
6475,PARADOX BLUE,2008,Ado,Manga
6550,GAL KADOU,2009,Ado,Manga
5183,MIRAI NIKKI: PARADOX,2010,Ado,Manga
6293,OUMAGADOKI DOUBUTSUEN,2010,Ado,Manga
198,MAHOU SHOUJO MADOKA★MAGICAPUELLA MAGI MADOKA MAGICA,2011,Ado,Anime
612,MAHOU SHOUJO MADOKA★MAGICA (PUELLA MAGI MADOKA★MAGICA),2011,Ado,Manga
747,MAHOU SHOUJO MADOKA★MAGICA,2011,Ado,Manga
5239,KAMISAMA GA YADORU KOTOBA,2011,Ado,Manga
6300,MAHOU SHOUJO MADOKA★MAGICA: ANTHOLOGY COMIC,2011,Ado,Manga
7664,CORPSE PARTY: BOOK OF SHADOWS,2011,Ado,Manga
7667,MAOYUU MAOU YUUSHA GAIDEN: MADOROMI NO ONNA MAHOU TSUKAI,2011,Ado,Manga
7852,LAST EXILE: SUNADOKEI NO TABIBITO,2011,Ado,Manga
480,MAHOU SHOUJO MADOKA★MAGICA: THE DIFFERENT STORY (PUELLA MAGI MADOKA★MAGICA: THE DIFFERENT STORY),2012,Ado,Manga
2206,"TAIMADOU GAKUEN 35 SHIKEN SHOUTAI (ANTIMAGIC ACADEMY ""THE 35TH TEST PLATOON"")",2012,Ado,Manga
3585,MAHOU SHOUJO MADOKA★MAGICA: HOMURA REVENGE! (PUELLA MAGI MADOKA★MAGICA: HOMURA'S REVENGE),2012,Ado,Manga
4795,MADOKA☆ENGAWA,2012,Ado,Manga
5720,MAHOU SHOUJO-BU MADOKA★MAGICA,2012,Ado,Manga
7499,CHOUKADOU GIRL ⅙ (AMAZING STRANGER 1/6),2012,Ado,Manga
581,GEKIJOUBAN MAHOU SHOUJO MADOKA★MAGICA: SHINPEN - HANGYAKU NO MONOGATARI (PUELLA MAGI MADOKA★MAGICA: THE MOVIE - REBELLION),2013,Ado,Manga
1472,SANKAKU MADO NO SOTOGAWA WA YORU (THE NIGHT BEYOND THE TRICORNERED WINDOW),2013,Ado,Manga
3770,MADOROMI-CHAN GA IKU. (GO!GO! MADOROMI-CHAN.),2013,Ado,Manga
4573,HANEBADO!,2013,Ado,Manga
347,MACHIKADO MAZOKU (THE DEMON GIRL NEXT DOOR),2014,Ado,Manga
717,USEMONO YADO,2014,Ado,Manga
3887,LABRADORESCENCE,2014,Ado,Manga
6735,AMEIRO PARADOX DJ - CANDY COLOR PARADISE,2014,Ado,Manga
7699,KIMI NO KOTO NADO ZETTAI NI (THE YOUNG MASTER'S REVENGE),2014,Ado,Manga
8044,HINADORI NO WALTZ,2014,Ado,Manga
4996,TAIMADOU GAKUEN 35 SHIKEN SHOUTAIANTI-MAGIC ACADEMY: THE 35TH TEST PLATOON,2015,Ado,Anime
1351,MAHOU SHOUJO MADOKA★MAGICA: MAJUU-HEN (PUELLA MAGI MADOKA MAGICA: WRAITH ARC),2015,Ado,Manga
5925,PERSONA Q: SHADOW OF THE LABYRINTH - SIDE:P4 (PERSONA Q SHADOW OF THE LABYRINTH SIDE: P4),2015,Ado,Manga
8014,RENJOU DESPERADO (RENJOH DESPERADO),2015,Ado,Manga
9090,"KOURITSUCHUU MADOUSHI, DAINI NO JINSEI DE MADOU WO KIWAMERU",2015,Ado,Manga
1696,HINADORI WA SHIOKAZE NI MADOROMU,2016,Ado,Manga
2113,LIGHT AND SHADOW,2016,Ado,Manga
2639,KAKURIYO NO YADOMESHI: AYAKASHI OYADO NI YOMEIRI SHIMASU. (KAKURIYO: BED & BREAKFAST FOR SPIRITS),2016,Ado,Manga
4504,MADO KARA MADOKA-CHAN,2017,Ado,Manga
4759,MADOROMI BARMAID (SLEEPY BARMAID),2017,Ado,Manga
1661,KAKURIYO NO YADOMESHIKAKURIYO: BED AND BREAKFAST FOR SPIRITS,2018,Ado,Anime
4785,HANEBADO!,2018,Ado,Anime
185,KAGE NO JITSURYOKUSHA NI NARITAKUTE! (THE EMINENCE IN SHADOW),2018,Ado,Manga
232,SHADOWS HOUSE,2018,Ado,Manga
1847,ASADORA!,2018,Ado,Manga
3455,MAGIA RECORD: MAHOU SHOUJO MADOKA☆MAGICA GAIDEN (MAGIA RECORD: PUELLA MAGI MADOKA MAGICA SIDE STORY),2018,Ado,Manga
3816,MADOKA NO HIMITSU (MADOKA'S SECRET),2018,Ado,Manga
5336,TOKI WO KOERU KAGE (H.P. LOVECRAFT'S THE SHADOW OUT OF TIME),2018,Ado,Manga
6576,MADOUGUSHI DAHLIA WA UTSUMUKANAI: KYOU KARA JIYUU NA SHOKUNIN LIFE (DAHLIA IN BLOOM: CRAFTING A FRESH START WITH MAGICAL TOOLS),2018,Ado,Manga
7264,"BOUKENSHA LICENSE WO HAKUDATSU SARETA OSSAN DAKEDO, MANAMUSUME GA DEKITA NODE NONBIRI JINSEI WO OUKA SURU (I LOST MY ADVENTURER'S LICENSE, BUT IT'S FINE BECAUSE I HAVE AN ADORABLE DAUGHTER NOW)",2018,Ado,Manga
1315,MACHIKADO MAZOKUTHE DEMON GIRL NEXT DOOR,2019,Ado,Anime
2455,THE MONSTROUS DUKE'S ADOPTED DAUGHTER,2019,Ado,Manga
2825,KAGE NO JITSURYOKUSHA NI NARITAKUTE!: SHADOW GAIDEN (THE EMINENCE IN SHADOW: SHADOW SIDE STORY.),2019,Ado,Manga
3568,TADOKORO-SAN,2019,Ado,Manga
3820,MADOU NO KEIFU (TRUTH WEAVERS),2019,Ado,Manga
7682,DOSANKO GAL WA NAMARA MENKOI (HOKKAIDO GALS ARE SUPER ADORABLE!),2019,Ado,Manga
7817,MADOUGUSHI DAHLIA WA UTSUMUKANAI (MAGIC ARTISAN DAHLIA WILTS NO MORE),2019,Ado,Manga
9283,KASEI MADOUSHI NO ISEKAI SEIKATSU: BOUKENCHUU NO KASEIFUGYOU UKETAMAWARIMASU! (HOUSEKEEPING MAGE FROM ANOTHER WORLD: MAKING YOUR ADVENTURES FEEL LIKE HOME!),2019,Ado,Manga
3654,INNSMOUTH NO KAGE: LOVECRAFT KESSAKUSHUU (H.P. LOVECRAFT'S THE SHADOW OVER INNSMOUTH),2020,Ado,Manga
7003,"GARIBEN JIMI MOE REIJOU WA, ORESAMA OUJI NADO OYOBIDENAI (THE LADY LIKES A NERD OVER PRINCES)",2020,Ado,Manga
7401,TAIYOU TO TSUKI NO HAGANE (STEEL OF THE CELESTIAL SHADOWS),2020,Ado,Manga
8456,NARE NO HATE NO BOKURA (THE SHADOWS OF WHO WE ONCE WERE),2020,Ado,Manga
9099,QUEEN IN THE SHADOWS,2020,Ado,Manga
959,SHADOWS HOUSE,2021,Ado,Anime
3635,KAGINADO,2021,Ado,Anime
4215,MAGIA RECORD: MAHOU SHOUJO MADOKA☆MAGICA GAIDEN 2ND SEASON - KAKUSEI ZENYAMAGIA RECORD: PUELLA MAGI MADOKA MAGICA SIDE STORY SEASON 2 - THE EVE OF AWAKENING,2021,Ado,Anime
1075,"MIKADONO SANSHIMAI WA ANGAI, CHOROI.",2021,Ado,Manga
3720,YOMI NO TSUGAI (DAEMONS OF THE SHADOW REALM),2021,Ado,Manga
3839,SHIMEKIRI MAE NI WA YURI GA HAKADORU,2021,Ado,Manga
6754,"AKUYUU NO ORE GA PONKOTSU KISHI WO MITERARENAI NDA GA, DOU SEWA WO YAKYA II?: MADOME GAIDEN (AN ARCHDEMON'S (FRIEND'S) DILEMMA: HOW TO BABYSIT A CRYBABY KNIGHT)",2021,Ado,Manga
239,KAGE NO JITSURYOKUSHA NI NARITAKUTE!THE EMINENCE IN SHADOW,2022,Ado,Anime
606,SHADOWS HOUSE 2ND SEASON,2022,Ado,Anime
