,Title,Year,fandom,Media
2678,SHORT CAKE CAKE,2015,Arknights,Manga
2820,OTOKO YAMOME MO HANA WA SAKU,2015,Arknights,Manga
2887,SESUJI WO PIN! TO: SHIKAKOU KYOUGI DANCE-BU E YOUKOSO (STRAIGHTEN UP! WELCOME TO SHIKA HIGH'S COMPETITIVE DANCE CLUB),2015,Arknights,Manga
3326,ANATA TO TABERU SHIAWASE WO: MAKI TO HANAZAWA,2015,Arknights,Manga
3384,KAKAO 79%,2015,Arknights,Manga
3529,KONYAKUSEI,2015,Arknights,Manga
3530,BAKUMAN. BANGAI-HEN,2015,Arknights,Manga
3739,KOKORO GA SAKEBITAGATTERUNDA.,2015,Arknights,Manga
3741,"TAKANE NO HANA NARA OCHITEKOI!! (LOFTY FLOWER, FALL FOR ME!!)",2015,Arknights,Manga
4641,"WAKABARYOU DE, KIMI TO",2015,Arknights,Manga
4643,TOUKEN RANBU ONLINE ANTHOLOGY COMIC: TOUKEN DANSHI MAKUAIGEKI,2015,Arknights,Manga
4821,GRISAIA NO RAKUEN: SANCTUARY FELLOWS,2015,Arknights,Manga
5125,TAKI TAKANOSUKE NO SANPO JIKAN,2015,Arknights,Manga
5334,SEIKAKU KUZU DE NANI GA WARUI,2015,Arknights,Manga
5377,OUJI GA WATASHI WO AKIRAMENAI! (THE PRINCE'S ROMANCE GAMBIT),2015,Arknights,Manga
5463,KAKUSHIGOTO (I HAVE A SECRET),2015,Arknights,Manga
5635,"GAIKOTSU KISHI-SAMA, TADAIMA ISEKAI E ODEKAKECHUU (SKELETON KNIGHT IN ANOTHER WORLD)",2015,Arknights,Manga
5636,BAKUMAN.,2015,Arknights,Manga
5643,OSAKE WA FUUFU NI NATTE KARA,2015,Arknights,Manga
5959,CHARLOTTE THE 4-KOMA: SEISHUN WO KAKENUKERO!,2015,Arknights,Manga
6275,ZASSOU-TACHI YO TAISHI WO IDAKE,2015,Arknights,Manga
6359,NARUTO GAIDEN: NANADAIME HOKAGE TO AKAIRO NO HANATSUZUKI (NARUTO: THE SEVENTH HOKAGE AND THE SCARLET SPRING),2015,Arknights,Manga
6446,SHAKUNETSU KABADDI (BURNING KABADDI),2015,Arknights,Manga
6462,UMISAKI LILAC,2015,Arknights,Manga
6648,TATAKAU PANYA TO AUTOMATON WAITRESS (THE COMBAT BAKER AND AUTOMATON WAITRESS),2015,Arknights,Manga
6933,DIAMOND NO BRASS!!: SEIDOU KOUKOU SUISOUGAKU-BU,2015,Arknights,Manga
7236,SHINYAKU MÄRCHEN,2015,Arknights,Manga
7261,FUTARI HYAKKEI: KAZE NO OWARI HARU NO HAJIMARI,2015,Arknights,Manga
7292,TWINDLE NO HAKONIWA (THE MINIATURE GARDEN OF TWINDLE),2015,Arknights,Manga
7297,GAKKOUGURASHI! ANTHOLOGY COMIC: KAI,2015,Arknights,Manga
7390,MAYONAKA NO OCCULT KOUMUIN (MIDNIGHT OCCULT CIVIL SERVANTS),2015,Arknights,Manga
7493,OKUJOU NO YURIREI-SAN SIDE B: NAKAYOSHI QUIZ (KINDRED SPIRITS ON THE ROOF),2015,Arknights,Manga
7702,FUSHIGI YUUGI: BYAKKO IBUN,2015,Arknights,Manga
7797,HOSHIKUZU GAKUEN C COURSE,2015,Arknights,Manga
7800,AKITA IMOKKO! EBINA-CHAN,2015,Arknights,Manga
8018,GAKKOUGURASHI! ANTHOLOGY COMIC: ON,2015,Arknights,Manga
8019,MORI NO TAKUMA-SAN,2015,Arknights,Manga
8156,SHUSSAN NO SHIKATA GA WAKARANAI! (I DON'T KNOW HOW TO GIVE BIRTH!),2015,Arknights,Manga
8570,TENSEI OUJO WA KYOU MO FLAG WO TATAKIORU (THE REINCARNATED PRINCESS SPENDS ANOTHER DAY SKIPPING STORY ROUTES),2015,Arknights,Manga
8743,HOSHI NO SUNA: AMENO SAYAKA TANPENSHUU,2015,Arknights,Manga
8770,KIRAKIRA☆STUDY: ZETTAI GOUKAKU SENGEN (KIRAKIRA☆STUDY: PASS THE UNIVERSITY ABSOLUTELY),2015,Arknights,Manga
8778,KIRYUU-SENSEI WA RENAI GA WAKARANAI. (MISS KIRYUU DOESN'T KNOW WHAT LOVE IS.),2015,Arknights,Manga
8870,MANGAKA TO YAKUZA (THE ARTIST AND THE BEAST),2015,Arknights,Manga
8961,SHIROBAKO: INTRODUCTION,2015,Arknights,Manga
9085,HANABATAKE NO IBÉRICO,2015,Arknights,Manga
9087,DHALDOT NO AKUJIKI MUSUME,2015,Arknights,Manga
9425,AKUMA MO FUMU WO OSORERU TOKORO (WHERE SATANS FEAR TO TREAD),2015,Arknights,Manga
9426,"KEDAMONOZAKARI, KOIZAKARI",2015,Arknights,Manga
9442,NARAKU NO ADU,2015,Arknights,Manga
9443,TOUKEN RANBU GAKUEN,2015,Arknights,Manga
9637,KISS YORI MO HAYAKU: FUTURE,2015,Arknights,Manga
36,HAIKYUU!! KARASUNO KOUKOU VS. SHIRATORIZAWA GAKUEN KOUKOUHAIKYU!! 3RD SEASON,2016,Arknights,Anime
100,SHOUWA GENROKU RAKUGO SHINJUUSHOWA GENROKU RAKUGO SHINJU,2016,Arknights,Anime
127,JOJO NO KIMYOU NA BOUKEN PART 4: DIAMOND WA KUDAKENAIJOJO'S BIZARRE ADVENTURE: DIAMOND IS UNBREAKABLE,2016,Arknights,Anime
252,BOKU DAKE GA INAI MACHIERASED,2016,Arknights,Anime
649,AKAGAMI NO SHIRAYUKI-HIME 2ND SEASONSNOW WHITE WITH THE RED HAIR 2,2016,Arknights,Anime
902,TANAKA-KUN WA ITSUMO KEDARUGETANAKA-KUN IS ALWAYS LISTLESS,2016,Arknights,Anime
1130,"GATE: JIEITAI KANOCHI NITE, KAKU TATAKAERI PART 2GATE PART 2",2016,Arknights,Anime
1319,NEJIMAKI SEIREI SENKI: TENKYOU NO ALDERAMINALDERAMIN ON THE SKY,2016,Arknights,Anime
1618,SAKAMOTO DESU GA?HAVEN'T YOU HEARD? I'M SAKAMOTO,2016,Arknights,Anime
2315,DANGANRONPA 3: THE END OF KIBOUGAMINE GAKUEN - ZETSUBOU-HENDANGANRONPA 3: THE END OF HOPE'S PEAK HIGH SCHOOL - DESPAIR ARC,2016,Arknights,Anime
2499,NANBAKA,2016,Arknights,Anime
3052,DANGANRONPA 3: THE END OF KIBOUGAMINE GAKUEN - MIRAI-HENDANGANRONPA 3: THE END OF HOPE'S PEAK HIGH SCHOOL - FUTURE ARC,2016,Arknights,Anime
3813,SHAKUNETSU NO TAKKYUU MUSUMESCORCHING PING PONG GIRLS,2016,Arknights,Anime
4131,GAKUSEN TOSHI ASTERISK 2ND SEASONTHE ASTERISK WAR SEASON 2,2016,Arknights,Anime
4271,MAHOU SHOUJO IKUSEI KEIKAKUMAGICAL GIRL RAISING PROJECT,2016,Arknights,Anime
4305,"WATASHI GA MOTETE DOUSUNDAKISS HIM, NOT ME!",2016,Arknights,Anime
121,SASAKI TO MIYANO (SASAKI AND MIYANO),2016,Arknights,Manga
474,YAKUSOKU NO NEVERLAND (THE PROMISED NEVERLAND),2016,Arknights,Manga
561,-HEN (CARDCAPTOR SAKURA: CLEAR CARD),2016,Arknights,Manga
994,"SHUUMATSU NANI SHITEMASU KA? MOU ICHIDO DAKE, AEMASU KA? (DO YOU HAVE WHAT THE END? MAY I MEET YOU ONCE AGAIN?)",2016,Arknights,Manga
997,MAIKO-SAN CHI NO MAKANAI-SAN,2016,Arknights,Manga
1095,MAHOU SHOUJO IKUSEI KEIKAKU: RESTART,2016,Arknights,Manga
1126,KIMI WA NATSU NO NAKA (THE SUMMER OF YOU),2016,Arknights,Manga
1143,JAKU-CHARA TOMOZAKI-KUN (BOTTOM-TIER CHARACTER TOMOZAKI),2016,Arknights,Manga
1300,AKEBI-CHAN NO SAILOR-FUKU (AKEBI'S SAILOR UNIFORM),2016,Arknights,Manga
1489,KONO SUBARASHII SEKAI NI BAKUEN WO! (KONOSUBA: AN EXPLOSION ON THIS WONDERFUL WORLD!),2016,Arknights,Manga
1557,BOKU NO HERO ACADEMIA: YUUEI HAKUSHO (MY HERO ACADEMIA: SCHOOL BRIEFS),2016,Arknights,Manga
1779,BAKEMONO YAWAZUKUSHI (PHANTOM TALES OF THE NIGHT),2016,Arknights,Manga
1972,KYOUKI NO SANMYAKU NITE (H.P. LOVECRAFT'S AT THE MOUNTAINS OF MADNESS),2016,Arknights,Manga
1976,"WATASHI, NOURYOKU WA HEIKINCHI DE TTE ITTA YO NE! (DIDN'T I SAY TO MAKE MY ABILITIES AVERAGE IN THE NEXT LIFE?!)",2016,Arknights,Manga
2237,AWAIRO EMAKI (FADED PICTURE SCROLL),2016,Arknights,Manga
2253,HOSHI DAKE GA SHITTERU (ONLY THE STARS KNOW),2016,Arknights,Manga
2639,KAKURIYO NO YADOMESHI: AYAKASHI OYADO NI YOMEIRI SHIMASU. (KAKURIYO: BED & BREAKFAST FOR SPIRITS),2016,Arknights,Manga
2729,OROKA NA TENSHI WA AKUMA TO ODORU,2016,Arknights,Manga
2731,KYUUKETSUKI TO YUKAI NA NAKAMA-TACHI (THE VAMPIRE AND HIS PLEASANT COMPANIONS),2016,Arknights,Manga
2914,KOUTETSUJOU NO KABANERI: AKATSUKI,2016,Arknights,Manga
2922,AKARUI KIOKU SOUSHITSU (CHEERFUL AMNESIA),2016,Arknights,Manga
3023,"TADA, SOREDAKE DE YOKATTA NDESU",2016,Arknights,Manga
3116,"SAOTOME SENSHU, HITAKAKUSU",2016,Arknights,Manga
3212,HOSAKA-SENSEI NO AI NO MUCHI,2016,Arknights,Manga
3320,ISEKAI YAKKYOKU,2016,Arknights,Manga
3432,MATTAKU SAIKIN NO TANTEI TO KITARA,2016,Arknights,Manga
3533,ORE WO SUKI NANO WA OMAE DAKE KA YO,2016,Arknights,Manga
3540,WAKUSEI CLOSET (ALONE IN THE PLANET),2016,Arknights,Manga
3744,ZETTAI NI HATARAKITAKUNAI DUNGEON MASTER GA DAMIN WO MUSABORU MADE (LAZY DUNGEON MASTER),2016,Arknights,Manga
3747,ORE GA SUKI NANO WA IMOUTO DAKEDO IMOUTO JA NAI,2016,Arknights,Manga
3759,"SENPAI! IMAKARA KOKURIMASU! (I'LL WIN YOU OVER, SEMPAI!)",2016,Arknights,Manga
4394,SOUSEI NO ONMYOUJI: TENEN JAKKO,2016,Arknights,Manga
4397,YAKUMO-SAN WA EZUKE GA SHITAI. (BEAUTY AND THE FEAST),2016,Arknights,Manga
4644,MAOU-SAMA NO MACHIZUKURI!: SAIKYOU NO DUNGEON WA KINDAI TOSHI (THE DEVIL IS MAKING CITY),2016,Arknights,Manga
4790,OP: YOAKE ITARU NO IRO NO NAI HIBI,2016,Arknights,Manga
4793,ISEKAI YAKKYOKU (PARALLEL WORLD PHARMACY),2016,Arknights,Manga
5202,PELELIU: RAKUEN NO GUERNICA (PELELIU: GUERNICA OF PARADISE),2016,Arknights,Manga
5341,KIMI NI SUKI TTE IWASETAI (I'D LIKE TO MAKE YOU SAY LOVING.),2016,Arknights,Manga
5357,KOI NI NARANAI WAKE GA NAI (IS IT TRUE THAT THE WORLD WILL CHANGE IN LOVE?),2016,Arknights,Manga
5369,BOCCHI HAKASE TO ROBOT SHOUJO NO ZETSUBOUTEKI UTOPIA,2016,Arknights,Manga
5515,"SEICHOU CHEAT DE NANDEMO DEKIRU YOU NI NATTA GA, MUSHOKU DAKE WA YAMERARENAI YOU DESU",2016,Arknights,Manga
5516,TENSEI KYUUKETSUKI-SAN WA OHIRUNE GA SHITAI (A TRANSMIGRATION VAMPIRE WOULD LIKE TO TAKE A NAP.),2016,Arknights,Manga
5518,HAKUI NO OUSAMA (KING IN A LAB COAT),2016,Arknights,Manga
6276,RUROUNI KENSHIN: MEIJI KENKAKU ROMANTAN - HOKKAIDO-HEN (RUROUNI KENSHIN: HOKKAIDO ARC),2016,Arknights,Manga
6317,UTAKATA DIALOG,2016,Arknights,Manga
6441,CHIYU MAHOU NO MACHIGATTA TSUKAIKATA: SENJOU WO KAKERU KAIFUKU YOUIN (THE WRONG WAY TO USE HEALING MAGIC),2016,Arknights,Manga
6592,KOKUHAKU NO JIKAN+,2016,Arknights,Manga
6598,MAOU SOUNANCHUU!!! YUKAI NA NAKAMA-TACHI WO SOETE,2016,Arknights,Manga
6811,HAKONIWA NO SOLEIL,2016,Arknights,Manga
6813,KAKEGURUI (KARI),2016,Arknights,Manga
6815,AKAIRO KOUSATEN,2016,Arknights,Manga
6939,MURENASE! SETON GAKUEN (COME TOGETHER! TO THE SETON ACADEMY),2016,Arknights,Manga
7291,RENZU-SOU NO SANKAKU (LOVE IN FOCUS),2016,Arknights,Manga
7471,LIFE 2: GIVER TAKER (LIFE 2: GIVER/TAKER),2016,Arknights,Manga
7611,TENSEI SHITE INAKA DE SLOW LIFE WO OKURITAI (I WANT TO ENJOY SLOW LIVING),2016,Arknights,Manga
7806,YANKEE SHOTA TO OTAKU ONEESAN (YANOTA: THE DELINQUENT AND THE OTAKU),2016,Arknights,Manga
8009,1 CM YORI MO CHIKAKU (CLOSER THAN ONE CENTIMETER),2016,Arknights,Manga
8021,ICHIJOU KANAME TO WA KAKAWARANAI,2016,Arknights,Manga
8262,HAKASE NO KIMAGURE HOMUNCULUS (PROFESSOR'S WHIMSICAL HOMUNCULUS),2016,Arknights,Manga
8753,FREAKS,2016,Arknights,Manga
9431,SEKAI WA NAKAJIMA NI KOI WO SURU!!,2016,Arknights,Manga
9793,ISEKAI NI KITA MITAI DAKEDO DOU SUREBA II NO DAROU,2016,Arknights,Manga
9796,TAKARAKUJI DE 40-OKU ATATTANDA KEDO ISEKAI NI IJUUSURU,2016,Arknights,Manga
9899,REAWAKENED MAN,2016,Arknights,Manga
9971,GACHA WO MAWASHITE NAKAMA WO FUYASU: SAIKYOU NO BISHOUJO GUNDAN WO TSUKURIAGERO,2016,Arknights,Manga
48,SHOUWA GENROKU RAKUGO SHINJUU: SUKEROKU FUTATABI-HENDESCENDING STORIES: SHOWA GENROKU RAKUGO SHINJU,2017,Arknights,Anime
2232,SAKURA QUEST,2017,Arknights,Anime
2438,SAKURADA RESETSAGRADA RESET,2017,Arknights,Anime
2945,KAKEGURUI,2017,Arknights,Anime
3191,KIRAKIRA☆PRECURE A LA MODE,2017,Arknights,Anime
3431,NOBUNAGA NO SHINOBI: ISE KANEGASAKI-HENNINJA GIRL & SAMURAI MASTER 2ND,2017,Arknights,Anime
3534,ROKUDENASHI MAJUTSU KOUSHI TO AKASHIC RECORDSAKASHIC RECORDS OF BASTARD MAGIC INSTRUCTOR,2017,Arknights,Anime
4263,KEPPEKI DANSHI! AOYAMA-KUNCLEAN FREAK! AOYAMA-KUN,2017,Arknights,Anime
4277,OSAKE WA FUUFU NI NATTE KARALOVE IS LIKE A COCKTAIL,2017,Arknights,Anime
4745,REIKENZAN: EICHI E NO SHIKAKU,2017,Arknights,Anime
351,MYSTERY TO IU NAKARE (DON'T CALL IT MYSTERY),2017,Arknights,Manga
424,ROJICA TO RAKKASEI,2017,Arknights,Manga
500,KING'S MAKER,2017,Arknights,Manga
568,: TOKYO TORITSU JUJUTSU KOUTOU SENMON GAKKOU (JUJUTSU KAISEN 0),2017,Arknights,Manga
586,KARAKAI JOUZU NO (MOTO) TAKAGI-SAN,2017,Arknights,Manga
948,KONO SUBARASHII SEKAI NI SHUKUFUKU WO! EXTRA: ANO OROKAMONO NI MO KYAKKOU WO!,2017,Arknights,Manga
998,TSUIRAKU JK TO HAIJIN KYOUSHI,2017,Arknights,Manga
1097,TAKANE NO RAN-SAN (RAN THE PEERLESS BEAUTY),2017,Arknights,Manga
1139,TOARU KAGAKU NO RAILGUN GAIDEN: ASTRAL BUDDY (A CERTAIN SCIENTIFIC RAILGUN: ASTRAL BUDDY),2017,Arknights,Manga
1164,SEWAYAKI KITSUNE NO SENKO-SAN,2017,Arknights,Manga
1293,KIMI WA TSUKIYO NI HIKARIKAGAYAKU,2017,Arknights,Manga
1408,RAISE WA TANIN GA II (YAKUZA FIANCÉ: RAISE WA TANIN GA II),2017,Arknights,Manga
1569,TOBAKU DATENROKU KAIJI: 24-OKU DASSHUTSU-HEN,2017,Arknights,Manga
1607,NEW DANGANRONPA V3: MINNA NO KOROSHIAI SHINGAKKI COMIC ANTHOLOGY,2017,Arknights,Manga
1768,NICOLA NO OYURURI MAKAI KIKOU (NICOLA TRAVELING AROUND THE DEMONS' WORLD),2017,Arknights,Manga
1773,YOU TO BAKEMONO NI NARU CHICHI GA TSURAI (A LIFE TURNED UPSIDE DOWN: MY DAD'S AN ALCOHOLIC),2017,Arknights,Manga
1776,KIMI GA BOKURA WO AKUMA TO YONDA KORO (BACK WHEN YOU CALLED US DEVILS),2017,Arknights,Manga
2047,"YUUSHA SHOUKAN NI MAKIKOMARETA KEDO, ISEKAI WA HEIWA DESHITA",2017,Arknights,Manga
2132,KIMI WA NATSU NO NAKA DJ - AKANE NO KORO (EVENING GLOW),2017,Arknights,Manga
2402,AHAREN-SAN WA HAKARENAI,2017,Arknights,Manga
2689,"SENTOUIN, HAKENSHIMASU! (COMBATANTS WILL BE DISPATCHED!)",2017,Arknights,Manga
2923,KISHUKU GAKKOU NO JULIET,2017,Arknights,Manga
3148,"AKUYAKU REIJOU NANODE LAST BOSS WO KATTEMIMASHITA (I'M THE VILLAINESS, SO I'M TAMING THE FINAL BOSS)",2017,Arknights,Manga
3210,BOKUTACHI NO REMAKE (REMAKE OUR LIFE!),2017,Arknights,Manga
3296,SHINOZAKI-KUN NO MAINTENANCE JIJOU,2017,Arknights,Manga
3313,ISSAK,2017,Arknights,Manga
3450,HINO-SAN NO BAKA,2017,Arknights,Manga
3453,"MOTTO GANBARE! NAKAMURA-KUN!! (GO FOR IT AGAIN, NAKAMURA!)",2017,Arknights,Manga
3637,SAKURA QUEST,2017,Arknights,Manga
3652,JISHOU AKUYAKU REIJOU NA KONYAKUSHA NO KANSATSU KIROKU.,2017,Arknights,Manga
3727,AKAZUKIN NO OOKAMI DESHI (RED RIDING HOOD'S WOLF APPRENTICE),2017,Arknights,Manga
4107,ORE NO GENJITSU WA RENAI GAME?? KA TO OMOTTARA INOCHIGAKE NO GAME DATTA,2017,Arknights,Manga
4108,CHIHAYAFURU: CHUUGAKUSEI-HEN,2017,Arknights,Manga
4326,AO NI NAKU,2017,Arknights,Manga
4327,ISSO KOE GA NAKATTARA,2017,Arknights,Manga
4650,MEJIROBANA NO SAKU (A WHITE ROSE IN BLOOM),2017,Arknights,Manga
4946,ASAYAKE WA KOGANEIRO: THE IDOLM@STER,2017,Arknights,Manga
4962,UZAKI-CHAN WA ASOBITAI! (UZAKI-CHAN WANTS TO HANG OUT!),2017,Arknights,Manga
5206,REIRAKU (DOWNFALL),2017,Arknights,Manga
5212,BOUSHOKU NO BERSERK: ORE DAKE LEVEL TO IU GAINEN WO TOPPA SURU (BERSERK OF GLUTTONY),2017,Arknights,Manga
6067,HISAKATA NO OTO,2017,Arknights,Manga
6071,ANATA GA SHITE KURENAKUTEMO (EVEN IF YOU DON'T DO IT),2017,Arknights,Manga
6315,ORE NO GENJITSU WA RENAI GAME?? KA TO OMOTTARA INOCHIGAKE NO GAME DATTA (A DATING SIM OF LIFE OR DEATH),2017,Arknights,Manga
6840,YOUKAKU NO MAJOROMI (SHEEPLY HORNED WITCH ROMI),2017,Arknights,Manga
7000,GYAKUSATSU HAPPY END (MASSACRE HAPPY END),2017,Arknights,Manga
7306,KAKEGURUI YOROZU: KAKEGURUI KOUSHIKI ANTHOLOGY,2017,Arknights,Manga
7810,HAKOZUME: KOBAN JOSHI NO GYAKUSHUU (POLICE IN A POD),2017,Arknights,Manga
7981,"KITAKU TOCHUU DE YOME TO MUSUME GA DEKITA N DAKEDO, DRAGON DATTA. (ON THE WAY HOME I GOT A BRIDE AND DAUGHTER OF TWINS, BUT IT WAS A DRAGON.)",2017,Arknights,Manga
8011,SAIKYOU MAHOUSHI NO INTON KEIKAKU (THE GREATEST MAGICMASTER'S RETIREMENT PLAN),2017,Arknights,Manga
8013,SHIKKAKUMON NO SAIKYOU KENJA: SEKAI SAIKYOU NO KENJA GA SARANI TSUYOKUNARU TAME NI TENSEI SHIMASHITA,2017,Arknights,Manga
8015,CHIISAKO NO NIWA,2017,Arknights,Manga
8026,SEISHUN KIJINDEN! NISHIO GAKUEN,2017,Arknights,Manga
8027,KAKEGURUI MIDARI,2017,Arknights,Manga
8574,SHOUGAKUSEI GA MAMA DEMO II DESU KA?,2017,Arknights,Manga
8575,SAKAZUKI-SAN CHI NO GIKYOUDAI,2017,Arknights,Manga
8576,ASOKO DE HATARAKU MUSUBU-SAN,2017,Arknights,Manga
8596,ACCHI NO RENSHUU HAJIMEMASHITA. (PRACTICE MAKES PERFECT),2017,Arknights,Manga
8745,"KITTO AI DAKARA, IRANAI (YOUR LOVE PERHAPS ISN'T NEEDED FOR ME.)",2017,Arknights,Manga
8866,SEKAI SAIKYOU NO KOUEI: MEIKYUUKOKU NO SHINJIN TANSAKUSHA (THE WORLD'S STRONGEST REARGUARD: LABYRINTH COUNTRY'S NOVICE SEEKER),2017,Arknights,Manga
8874,MAHOUTSUKAI NO KONYAKUSHA (FIANCÉE OF THE WIZARD),2017,Arknights,Manga
8968,KAGAKUTEKI NI SONZAI SHIURU CREATURE MUSUME NO KANSATSU NISSHI (CREATURE GIRLS: A HANDS-ON FIELD JOURNAL IN ANOTHER WORLD),2017,Arknights,Manga
8977,YURI HYAKKEI (A HUNDRED SCENES OF GIRLS LOVE),2017,Arknights,Manga
9093,KOI TO HIMITSU NO GAKUSEIRYOU (THE DORM OF LOVE AND SECRETS),2017,Arknights,Manga
9094,KIMI WA HARU NI ME WO SAMASU (YOU WILL WAKE UP IN THE SPRING),2017,Arknights,Manga
9275,UCHUU NO HATE NO MANNAKA NO,2017,Arknights,Manga
9653,ANSATSUSHA DE ARU ORE NO STATUS GA YUUSHA YORI MO AKIRAKA NI TSUYOI NO DA GA (MY STATUS AS AN ASSASSIN OBVIOUSLY EXCEEDS THE HERO'S),2017,Arknights,Manga
9659,GISOU FURIN (A FAKE AFFAIR),2017,Arknights,Manga
9799,ORENCHI NI KITA ONNA KISHI TO INAKAGURASHI SURU KOTO NI NATTA KEN,2017,Arknights,Manga
684,WOTAKU NI KOI WA MUZUKASHIIWOTAKOI: LOVE IS HARD FOR OTAKU,2018,Arknights,Anime
746,GAKUEN BABYSITTERSSCHOOL BABYSITTERS,2018,Arknights,Anime
1205,HAKUMEI TO MIKOCHIHAKUMEI AND MIKOCHI,2018,Arknights,Anime
1213,KARAKAI JOUZU NO TAKAGI-SANTEASING MASTER TAKAGI-SAN,2018,Arknights,Anime
1274,CARDCAPTOR SAKURA: CLEAR CARD-HENCARDCAPTOR SAKURA: CLEAR CARD,2018,Arknights,Anime
1636,HATARAKU SAIBOUCELLS AT WORK!,2018,Arknights,Anime
1661,KAKURIYO NO YADOMESHIKAKURIYO: BED AND BREAKFAST FOR SPIRITS,2018,Arknights,Anime
1955,CHIO-CHAN NO TSUUGAKUROCHIO'S SCHOOL ROAD,2018,Arknights,Anime
1981,KISHUKU GAKKOU NO JULIETBOARDING SCHOOL JULIET,2018,Arknights,Anime
2314,DAKARETAI OTOKO 1-I NI ODOSARETE IMASU.DAKAICHI -I'M BEING HARASSED BY THE SEXIEST MAN OF THE YEAR-,2018,Arknights,Anime
2320,HAKATA TONKOTSU RAMENS,2018,Arknights,Anime
3386,"GYAKUTEN SAIBAN: SONO ""SHINJITSU"", IGI ARI! SEASON 2ACE ATTORNEY SEASON 2",2018,Arknights,Anime
3421,KARAKURI CIRCUS,2018,Arknights,Anime
4905,AKKUN TO KANOJOMY SWEET TYRANT,2018,Arknights,Anime
134,BAKEMONOGATARI,2018,Arknights,Manga
145,YAGATE KIMI NI NARU: SAEKI SAYAKA NI TSUITE (BLOOM INTO YOU: REGARDING SAEKI SAYAKA),2018,Arknights,Manga
185,KAGE NO JITSURYOKUSHA NI NARITAKUTE! (THE EMINENCE IN SHADOW),2018,Arknights,Manga
332,JIGOKURAKU (HELL'S PARADISE: JIGOKURAKU),2018,Arknights,Manga
436,TONIKAKU KAWAII (FLY ME TO THE MOON),2018,Arknights,Manga
624,HOUKAGO SHOUNEN HANAKO-KUN (AFTER-SCHOOL HANAKO-KUN),2018,Arknights,Manga
625,TENGOKU DAIMAKYOU (HEAVENLY DELUSION),2018,Arknights,Manga
647,SUBETE NO JINRUI WO HAKAI SURU. SORERA WA SAISEI DEKINAI. (DESTROY ALL HUMANKIND. THEY CAN'T BE REGENERATED.),2018,Arknights,Manga
713,"MAOU GAKUIN NO FUTEKIGOUSHA: SHIJOU SAIKYOU NO MAOU NO SHISO, TENSEI SHITE SHISON-TACHI NO GAKKOU E KAYOU (THE MISFIT OF DEMON KING ACADEMY)",2018,Arknights,Manga
714,"KAKEOCHI GIRL (RUN AWAY WITH ME, GIRL)",2018,Arknights,Manga
831,WEAK HERO,2018,Arknights,Manga
930,FUKAKAI NA BOKU NO SUBETE WO (LOVE ME FOR WHO I AM),2018,Arknights,Manga
949,KIMI TO NATSU NO NAKA (THE SUMMER WITH YOU),2018,Arknights,Manga
989,30-SAI MADE DOUTEI DATO MAHOUTSUKAI NI NARERU RASHII (CHERRY MAGIC! THIRTY YEARS OF VIRGINITY CAN MAKE YOU A WIZARD?!),2018,Arknights,Manga
1445,JISHOU AKUYAKU REIJOU NA KONYAKUSHA NO KANSATSU KIROKU. (AN OBSERVATION LOG OF MY FIANCÉE WHO CALLS HERSELF A VILLAINESS),2018,Arknights,Manga
1447,ORI NO NAKA NO SOLOIST (SOLOIST IN A CAGE),2018,Arknights,Manga
1622,"DOUSEI YANKEE AKAMATSU SEVEN (BAD BOYS, HAPPY HOME)",2018,Arknights,Manga
1658,NANDE IKITERU KA WAKARANAI HITO IZUMI SUMI 25-SAI (SHE DOESN'T KNOW WHY SHE LIVES.),2018,Arknights,Manga
1699,ZETTAI BL NI NARU SEKAI VS ZETTAI BL NI NARITAKUNAI OTOKO,2018,Arknights,Manga
1740,ZOKU KONO SUBARASHII SEKAI NI BAKUEN WO!,2018,Arknights,Manga
1746,KUMICHOU MUSUME TO SEWAGAKARI (THE YAKUZA'S GUIDE TO BABYSITTING),2018,Arknights,Manga
1910,"YUUSHA SHOUKAN NI MAKIKOMARETA KEDO, ISEKAI WA HEIWA DESHITA (I GOT CAUGHT UP IN A HERO SUMMONS, BUT THE OTHER WORLD WAS AT PEACE!)",2018,Arknights,Manga
1911,KODAMA MARIA BUNGAKU SHUUSEI,2018,Arknights,Manga
2128,HATARAKU SAIBOU BLACK (CELLS AT WORK! CODE BLACK),2018,Arknights,Manga
2178,"HOSHIZORA NO SHITA, KIMI NO KOE DAKE WO DAKISHIMERU (I HOLD ONLY YOUR VOICE, UNDER THE STARRY SKY.)",2018,Arknights,Manga
2184,"TENSAI OUJI NO AKAJI KOKKA SAISEI JUTSU: SOUDA, BAIKOKU SHIYOU (THE GENIUS PRINCE'S GUIDE TO RAISING A NATION OUT OF DEBT (HEY, HOW ABOUT TREASON?))",2018,Arknights,Manga
2186,NANATSU NO MAKEN GA SHIHAI SURU (REIGN OF THE SEVEN SPELLBLADES),2018,Arknights,Manga
2303,HETEROGENIA LINGUISTIC: ISHUZOKU GENGOGAKU NYUUMON (HETEROGENIA LINGUISTICO),2018,Arknights,Manga
2347,SAYONARA NO ASA NI YAKUSOKU NO HANA WO KAZAROU (MAQUIA: WHEN THE PROMISED FLOWER BLOOMS),2018,Arknights,Manga
2348,THE MAKEUP REMOVER,2018,Arknights,Manga
2643,SHINIGAMI NI SODATERARETA SHOUJO WA SHIKKOKU NO KEN WO MUNE NI IDAKU (DEATH'S DAUGHTER AND THE EBONY BLADE),2018,Arknights,Manga
