,fandom,other_fandom,name,circle_code,event,circle_facebook,circle_instagram,circle_twitter,circle_other_socials,sampleworks_images,substring
692,BUNGOU STRAY DOGS,"DREAMCATCHER, FIONNA AND CAKE, ORIGINAL, PROJECT MOON/LIMBUS COMPANY, HONKAI IMPACT 3RD, VTUBER, ORV, PROJECT SEKAI",Babooshkafe,G-46a (SAT),CF17,,https://instagram.com/babooshkafe?igshid=OGQ5ZDc2ODk2ZA==,,,,RE
701,ORV,"SCTIR, PROJECT SEKAI, CAMPFIRE COOKING, LCF",TRIOLEO,G-51b,CF17,,,https://twitter.com/sixteenwishes_,,,RE
702,ORV (OMNISCIENT READER VIEWPOINT),"OMNISCIENT READERS VIEWPOINT, GENSHIN, NIJISANJI, VOCALOID, TGAA, KPOP",FORYOURLUV,G-52a,CF17,,https://www.instagram.com/fiitriann/,https://twitter.com/livqween,,,RE
710,A3!,"VTUBERS, BOCCHI THE ROCK, HONKAI STAR RAIL, OSHI NO KO, NEEDY STREAMER OVERDOSE, ORIGINALS",hamster bertelor,G-56b,CF17,,https://www.instagram.com/stardust_omelette/,https://twitter.com/retiredstarmiya,,,RE
715,ANIME,"JUJUTSU KAISEN, JOJO'S BIZARRE ADVENTURE, MOB PSYCHO 100, THE AMAZING DIGITAL CIRCUS, CUTE ANIMALS, ISEKAI, FANTASY ANIME, ANIME",Aeriess x Raikke,G-59b,CF17,,https://www.instagram.com/ae_riess/,,https://www.instagram.com/_raikke/,,RE
727,GENSHIN,"HSR, GBF, CHAINSAW MAN, HOLOLIVE, DOROHEDORO, DANDADAN, BERSERK, STREETFIGHTER, DUNGEON AND DRAGONS, HETALIA, RUNE FACTORY",SC Art Community,H-08ab,CF17,,https://www.instagram.com/minerva_rin/,https://twitter.com/scartist_club,,,RE
731,GENSHIN IMPACT,"HONKAI STAR RAIL, JUJUTSU KAISEN, TEARS OF THEMIS, TOKYO REVENGERS",Rumah Adopsi,H-10b,CF17,,https://www.instagram.com/babymochi.space/,https://twitter.com/reikalucia,,,RE
742,GENSHIN IMPACT,"ENSEMBLE STARS, HONKAI STAR RAIL, PROJECT SEKAI, BUNGO STRAY DOGS, JUJUTSU KAISEN, OMNISCIENT READER’S VIEWPOINT",Kimitachi,H-18a,CF17,,https://instagram.com/kimitachi_id,https://twitter.com/kimitachi_id,,,RE
745,GENSHIN IMPACT,"HONKAI IMPACT, HONKAI STAR RAIL, ARKNIGHTS, GENSHIN IMPACT, REVERSE 1999, VOCALOID",kusakusa,H-19b,CF17,,https://www.instagram.com/yurura_nn/,https://twitter.com/poropekko,,,RE
759,TEARS OF THEMIS,"MYSTIC MESSENGER, IKEMEN SENGOKU, IKEMEN VAMPIRE, IKEMEN REVOLUTION, IKEMEN PRINCE, IKEMEN VILLAIN, OBEY ME!, ENSEMBLE STARS!!, NU: CARNIVAL, GENSHIN IMPACT, HONKAI STAR-RAIL, NIJISANJI, HOLOLIVE, EVANGELION, POP TEAM EPIC, SAILOR MOON, SAINT SEIYA, CHAINSAW MAN, RUROUNI KENSHIN, FREE!, GOLDEN KAMUY, VOCALOID, ORIGINAL (KUCING, KELINCI)",BAZOTAO,H-27ab,CF17,https://web.facebook.com/bazotao,https://www.instagram.com/bazotao/,,,,RE
766,GENSHIN IMPACT,"BLUE LOCK, JUJUTSU KAISEN, HAIKYUU, TOKYO REVENGERS, SPY X FAMILY, HONKAI STAR RAIL, NIJISANJI, HARVEST MOON, SUIKODEN",AmeKura,H-33ab,CF17,,https://instagram.com/hamu_mel4,https://twitter.com/hamu_mel4,,,RE
767,GENSHIN IMPACT,"HAIKYUU, TOKYO REVENGERS, NIJISANJI, HOLOLIVE, JUJUTSU KAISEN, NCT, SEVENTEEN, TXT,",Sanur.co,H-34a,CF17,,https://www.instagram.com/sanur.co/,,,,RE
768,GENSHIN IMPACT,"VTUBER, HOLOSTARS, NIJISANJI, HONKAI STAR RAIL, GENSHIN IMPACT, TEARS OF THEMIS, JUJUTSU KAISEN, BLUE LOCK, THE MASTERFUL CAT IS DEPRESSED AGAIN TODAY, BOKU NO HERO ACADEMIA, NEWJEANS, ORIGINAL",Seonmul Aegis,H-34b,CF17,,https://www.instagram.com/seonmul_aegis/,,,,RE
776,GENSHIN IMPACT,"HONKAI STAR RAIL, NIJISANJI, OMORI, CYBERPUNK 2022, REVUE STARLIGHT, FGO, GENSHIN IMPACT, TRIGUN",Trilusional,H-38b,CF17,,,https://twitter.com/trilusional,,,RE
